file,class,language,pattern,is_presentation,SLOC,NOM,WMC,CBO,LCOM
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\executor\MainThreadBase.kt,MainThreadBase,kotlin,MVP,False,6,1,1,3,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\executor\ThreadExecutor.kt,ThreadExecutor,kotlin,MVP,False,33,1,1,6,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\executor\ThreadExecutor.kt,JobThreadFactory,kotlin,MVP,False,9,1,1,3,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\faq\Faqs.kt,Faqs,kotlin,MVP,False,13,0,0,0,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\faq\Faqs.kt,View,kotlin,MVP,False,8,6,6,3,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\faq\Faqs.kt,Presenter,kotlin,MVP,True,3,1,1,0,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\faq\FaqsPresenter.kt,FaqsPresenter,kotlin,MVP,True,22,3,3,7,0.5
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\faq\GetFaqsDiskDataSource.kt,GetFaqsDiskDataSource,kotlin,MVP,False,29,2,3,4,1.0
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\faq\GetFaqsInteractor.kt,GetFaqsInteractor,kotlin,MVP,False,19,2,3,8,0.8
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\faq\GetFaqsRepository.kt,GetFaqsRepository,kotlin,MVP,False,3,1,1,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\faq\GetFaqsUseCase.kt,GetFaqsUseCase,kotlin,MVP,False,7,1,1,1,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\faq\GetFaqsUseCase.kt,Callback,kotlin,MVP,False,4,2,2,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\feedback\Feedback.kt,Feedback,kotlin,MVP,False,10,0,0,0,
